url,fetch_date,house_type,bathrooms,bedrooms,price,locality,Condition,Furnishing,Property Size,24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,TV,Tiled Floor,Wardrobe,Wi-Fi,loc
https://jiji.com.gh/west-legon/houses-apartments-for-rent/2bdrm-apartment-in-west-legon-for-rent-mfmNyiNDujI3erCZ8avBeiuY.html,2025-12-26,Apartment,3,2,6500.0,West Legon,Newly-Built,Semi-Furnished,242,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,West Legon
https://jiji.com.gh/airport-residential-area/houses-apartments-for-rent/5bdrm-house-in-bronko-housing-airport-residential-area-for-rent-BzGeUfU5hWlqOvAuN8SdaglS.html,2025-12-26,House,5,5,62000.0,Airport Residential Area,Newly-Built,Unfurnished,150,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Airport Residential Area
https://jiji.com.gh/boundary-road-area/houses-apartments-for-rent/20bdrm-apartment-in-e-a-properties-boundary-road-area-for-rent-3KBjYGVwfGyMOYzb2bWVClrj.html,2025-12-26,Apartment,20,20,154588200.0,East Legon,Newly-Built,Semi-Furnished,300,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,East Legon
https://jiji.com.gh/american-house/houses-apartments-for-rent/3bdrm-house-in-franko-properties-american-house-for-rent-BdJO9Exyu2xgB5tApbI9zMJv.html,2025-12-26,House,2,3,6000.0,East Legon,Fairly Used,Unfurnished,100,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,East Legon
https://jiji.com.gh/tema-metropolitan/houses-apartments-for-rent/1bdrm-apartment-in-community-25-tema-metropolitan-for-rent-k9kWjxW8DhE8K6SvO1TLQCFg.html,2025-12-26,Apartment,1,1,1000.0,Tema Metropolitan,Newly-Built,Unfurnished,40,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,Tema Metropolitan
https://jiji.com.gh/east-legon/houses-apartments-for-rent/4bdrm-house-in-east-legon-for-rent-rwm7nWoCoewrCQ0C2QcMqFh0.html,2025-12-26,House,4,4,30000.0,East Legon,Fairly Used,Unfurnished,120,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,East Legon
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/furnished-studio-apartment-in-east-legon-adjiriganor-for-rent-5q20lZJL2mKrGc8ixKzS67fo.html,2025-12-26,Studio Apartment,1,1,7000.0,Adjiriganor,Newly-Built,Furnished,140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Adjiriganor
https://jiji.com.gh/lake-side-estate/houses-apartments-for-rent/3bdrm-house-in-lakeside-for-rent-8YzO4BVwgeKzvqbJsJLFX1kw.html,2025-12-26,House,4,3,7000.0,Ashaley Botwe,Fairly Used,Semi-Furnished,140,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,Ashaley Botwe
https://jiji.com.gh/east-legon/houses-apartments-for-rent/3bdrm-apartment-in-adjringanor-east-legon-for-rent-uv1E9XfkPHuUO7ezR40rCNFT.html,2025-12-26,Apartment,3,3,11400.0,East Legon,Newly-Built,Semi-Furnished,1200,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,East Legon
https://jiji.com.gh/adenta-municipal/houses-apartments-for-rent/1bdrm-apartment-in-adenta-for-rent-CqvoziGF1LGTtCo1i9uNXwd9.html,2025-12-26,Apartment,1,1,1500.0,Adenta,Newly-Built,Semi-Furnished,258,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adenta
