url,house_type,bathrooms,bedrooms,price,locality,condition,furnishing,24_hour_electricity,air_conditioning,apartment,balcony,chandelier,dining_area,dishwasher,hot_water,kitchen_cabinets,kitchen_shelf,microwave,pop_ceiling,pre_paid_meter,refrigerator,tv,tiled_floor,wardrobe,wi_fi,loc
https jiji com gh manet junction houses apartments for rent bdrm apartment in scenic properties manet junction for rent pphp v vcca gdqy xu hqzp html,apartment,2,3,8000.0,spintex,newly built,unfurnished,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,spintex
https jiji com gh airport residential area houses apartments for rent bdrm apartment in fair haven airport residential area for rent entvwrqqgazavi chpxuaj html,apartment,2,2,6000.0,airport residential area,newly built,semi furnished,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,airport residential area
https jiji com gh tema metropolitan houses apartments for rent bdrm duplex in lakeside tema metropolitan for rent zi fdy l qoqllty ig mz html,duplex,4,4,12000.0,tema metropolitan,newly built,semi furnished,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,tema metropolitan
https jiji com gh adenta municipal houses apartments for rent bdrm apartment in at peters adenta for rent c hgpofquthls vppgwfuh html,apartment,2,2,2700.0,adenta,fairly used,unfurnished,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,adenta
https jiji com gh tsui bleoo houses apartments for rent bdrm apartment in lekma tsui bleoo for rent mu ukaxitqbtwxmrc mexvpf html,apartment,2,2,2000.0,teshie,fairly used,semi furnished,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,teshie
https jiji com gh west hills mall houses apartments for rent bdrm apartment in aggrey estates west hills mall area for rent dsnlvs bxjlnzbogncsb jf html,apartment,3,2,2500.0,weija,newly built,unfurnished,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,weija
https jiji com gh ga south municipal houses apartments for rent bdrm duplex in de icons real estate ga south municipal for rent mnozuva pr hhxbsip gvsw html,duplex,6,6,8000.0,ga south municipal,newly built,unfurnished,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,ga south municipal
https jiji com gh police station tesano houses apartments for rent bdrm house in tesano police station for rent xhy okmsqzsuuob goekpzq html,house,2,2,4000.0,tesano,fairly used,unfurnished,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,tesano
https jiji com gh tema metropolitan houses apartments for rent bdrm house in klagon ndc tema metropolitan for rent wgdxlmuwf s cbc ueflvxmi html,house,2,2,5000.0,tema metropolitan,newly built,semi furnished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tema metropolitan
https jiji com gh haatso houses apartments for rent bdrm house in haatso for rent vdfcbuv dfs l kh zsy iux html,house,3,3,13000.0,haatso,newly built,unfurnished,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,haatso
https jiji com gh achimota houses apartments for rent bdrm apartment in ultimate estate achimota for rent xarl z kxfgb vggmtp bv y html,apartment,1,1,1500.0,achimota,fairly used,unfurnished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,achimota
https jiji com gh tema metropolitan houses apartments for rent furnished bdrm apartment in tema metropolitan for rent tt hool vlsdldkystcdyb g html,apartment,1,1,1200.0,tema metropolitan,newly built,furnished,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,tema metropolitan
https jiji com gh tema metropolitan houses apartments for rent bdrm house in lashibi e c g tema metropolitan for rent xbc pazqfx edbk ohqnl html,house,3,3,5000.0,tema metropolitan,fairly used,semi furnished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tema metropolitan
https jiji com gh airport residential area houses apartments for rent bdrm house in airport residential area for rent ajoty goncgtidgzdt asjdr html,house,5,4,24810.0,airport residential area,newly built,semi furnished,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,airport residential area
https jiji com gh east legon houses apartments for rent furnished bdrm apartment in danvid express east legon for rent jwdmineqqd xce lmktka o html,apartment,1,1,5000.0,east legon,fairly used,furnished,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,east legon
https jiji com gh community houses apartments for rent bdrm apartment in community for rent b zthptrlwb xvarelc kjk html,apartment,2,2,3000.0,tema metropolitan,fairly used,semi furnished,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,tema metropolitan
https jiji com gh ga south municipal houses apartments for rent bdrm apartment in samuel aboagye ga south municipal for rent iag ne qemra xs wjlq z html,apartment,2,1,1500.0,ga south municipal,newly built,semi furnished,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,ga south municipal
https jiji com gh olebu houses apartments for rent bdrm apartment in olebu for rent yj sjpxnubgdcqmozrwqnfyx html,apartment,2,3,2500.0,ablekuma,fairly used,unfurnished,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,ablekuma
https jiji com gh ga south municipal houses apartments for rent bdrm apartment in de icons real estate ga south municipal for rent wq pndudyeflncxmrnt yhkw html,apartment,3,2,3500.0,ga south municipal,newly built,unfurnished,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,ga south municipal
https jiji com gh spintex houses apartments for rent bdrm house in spintex for rent eoghrp dmgyrxemxudydb us html,house,4,3,19607.0,spintex,newly built,unfurnished,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,spintex
https jiji com gh commandos houses apartments for rent bdrm apartment in adenta commandos for rent phqtxkxz ejimmnjuufucp html,apartment,2,2,2000.0,adenta,fairly used,unfurnished,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,adenta
https jiji com gh dome houses apartments for rent bdrm house in dome pillar for rent eqsk q izhhzstiseauracs html,house,3,3,6000.0,dome,fairly used,unfurnished,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,dome market
https jiji com gh ga south municipal houses apartments for rent bdrm apartment in first digital real ga south municipal for rent wfcajpafptl nglhjgo qt d html,apartment,2,2,1800.0,ga south municipal,newly built,unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,ga south municipal
https jiji com gh airport residential area houses apartments for rent furnished bdrm apartment in airport residential area for rent ffb no hfzorrkcztuibb fl html,apartment,3,3,52000.0,airport residential area,fairly used,furnished,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,airport residential area
https jiji com gh teshie houses apartments for rent bdrm apartment in penny taxi rank teshie for rent hte kbehsendedtnzeld zbx html,apartment,1,1,1300.0,teshie,newly built,unfurnished,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,teshie
https jiji com gh cantonments houses apartments for rent bdrm townhouse terrace in cantonments for rent cvexljbehv kmegbguzonza html,townhouse terrace,4,3,33500.0,cantonments,fairly used,semi furnished,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,cantonments
https jiji com gh pokuase houses apartments for rent bdrm apartment in kon agency pokuase for rent iehnzacr tmhv eipwmtl s html,apartment,3,2,2100.0,pokuase,newly built,unfurnished,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,pokuase
