column,dtype,unique_count,missing_count,pct_missing,sample_values
Unnamed: 0,int64,15166,0,0.00%,"[0, 1, 2]"
url,object,15166,0,0.00%,['https://jiji.com.gh/kwabenya/houses-apartments-for-rent/4b
fetch_date,object,15166,0,0.00%,"['2025-12-25 20:38:06.320962', '2025-12-25 20:38:06.316186',"
title,object,8524,0,0.00%,"['4bdrm House in Acp, Kwabenya for rent', '2bdrm Apartment i"
location,object,312,0,0.00%,"['Ga West Municipal, Kwabenya', 'Dansoman', 'Madina']"
house_type,object,20,0,0.00%,"['House', 'Apartment', 'Apartment']"
bathrooms,int64,18,0,0.00%,"[4, 1, 1]"
bedrooms,int64,17,0,0.00%,"[4, 2, 1]"
price,float64,1514,0,0.00%,"[8000.0, 1850.0, 1500.0]"
Property Address,object,6840,16,0.11%,"['Acp', 'Titus Glover Street', 'UPSA Area']"
Estate Name,object,3770,3881,25.59%,"['Acp', 'kofi ne Ama estate', 'Daddy Sam Agency']"
Property Size,float64,812,68,0.45%,"[300.0, 741.0, 100.0]"
Self Contained,object,2,0,0.00%,"['Yes', 'Yes', 'Yes']"
Subtype,object,2,13135,86.61%,"['Detached', 'Detached', 'Semi-Detached']"
Condition,object,4,45,0.30%,"['Newly-Built', 'Fairly Used', 'Fairly Used']"
Furnishing,object,3,0,0.00%,"['Unfurnished', 'Unfurnished', 'Unfurnished']"
Toilets,float64,10,4325,28.52%,"[4.0, 1.0, 1.0]"
Minimum Rental Period,object,5,9633,63.52%,"['12 Month', '12 Month', '12 Month']"
Agency Fee,float64,135,10229,67.45%,"[150.0, 150.0, 200.0]"
Caution Fee,float64,112,12153,80.13%,"[150.0, 150.0, 100.0]"
Service Charge Covers,object,380,14191,93.57%,['The Client agrees to pay a commission equal to ten percent
Service Charge Fee,float64,78,14027,92.49%,"[500.0, 10.0, 150.0]"
Pets,object,2,14747,97.24%,"['Pets Allowed', 'No Pets', 'Pets Allowed']"
Service Charge,object,1,15055,99.27%,"['Yes', 'Yes', 'Yes']"
Facilities,object,109,15040,99.17%,"['Kitchen Cabinets, Pre-Paid Meter, Dishwasher, Tiled Floor,"
Total Rooms,float64,3,15160,99.96%,"[6.0, 4.0, 3.0]"
Parking Space,object,1,15160,99.96%,"['Yes', 'Yes', 'Yes']"
Housing Quality,object,1,15162,99.97%,"['Standard', 'Standard', 'Standard']"
Smoking,object,2,15161,99.97%,"['Allowed', 'Allowed', 'Not Allowed']"
Parties,object,1,15161,99.97%,"['Allowed', 'Allowed', 'Allowed']"
Broker Fee,object,1,15161,99.97%,"['Yes', 'Yes', 'Yes']"
New Property,object,1,15164,99.99%,"['Yes', 'Yes']"
Listing by,object,1,15162,99.97%,"['Agent', 'Agent', 'Agent']"
24-hour Electricity,int64,2,0,0.00%,"[0, 0, 0]"
Air Conditioning,int64,2,0,0.00%,"[0, 0, 0]"
Apartment,int64,2,0,0.00%,"[0, 0, 0]"
Balcony,int64,2,0,0.00%,"[0, 0, 0]"
Chandelier,int64,2,0,0.00%,"[0, 0, 0]"
Dining Area,int64,2,0,0.00%,"[0, 0, 0]"
Dishwasher,int64,2,0,0.00%,"[0, 0, 0]"
Hot Water,int64,2,0,0.00%,"[0, 0, 0]"
Kitchen Cabinets,int64,2,0,0.00%,"[0, 0, 0]"
Kitchen Shelf,int64,2,0,0.00%,"[0, 0, 0]"
Microwave,int64,2,0,0.00%,"[0, 0, 0]"
Pop Ceiling,int64,2,0,0.00%,"[0, 0, 0]"
Pre-Paid Meter,int64,2,0,0.00%,"[0, 0, 0]"
Refrigerator,int64,2,0,0.00%,"[0, 0, 0]"
TV,int64,2,0,0.00%,"[0, 0, 0]"
Tiled Floor,int64,2,0,0.00%,"[0, 0, 0]"
Wardrobe,int64,2,0,0.00%,"[0, 0, 0]"
Wi-Fi,int64,2,0,0.00%,"[0, 0, 0]"
